Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 9.39794 0.0900000036 1.0816895926    0.090 -3.424  3.3622  5.217    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.89e-17      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.330 22.606 19.983 18.145 15.992 13.742 11.239 10.624 10.335
0.0152 0.01508 9.39794 0.0982479751 1.1563022143    0.098 -3.272  3.3837  5.189    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.45e-17      0.00 7.089e-01 2.759e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.951 22.175 19.581 17.752 15.608 13.363 10.861 10.247 9.955
0.0152 0.01508 9.39794 0.1000000015 1.1711064122    0.100 -3.242  3.3880  5.184    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.84e-17      0.00 7.089e-01 2.759e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.874 22.088 19.500 17.672 15.531 13.286 10.785 10.171 9.878
0.0152 0.01508 9.39794 0.1062009186 1.2209113812    0.106 -3.155  3.3995  5.169    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.04e-17      0.00 7.088e-01 2.759e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.657 21.841 19.270 17.446 15.310 13.069 10.567 9.954 9.660
0.0152 0.01508 9.39794 0.1200000122 1.3193155232    0.120 -2.978  3.4228  5.138    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-16      0.00 7.086e-01 2.761e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.214 21.036 18.593 16.797 14.739 12.550 10.139 9.526 9.227
0.0152 0.01508 9.39794 0.1400000006 1.4384526719    0.140 -2.794  3.4430  5.102    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-16      0.00 7.084e-01 2.763e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.755 19.484 17.372 15.665 13.846 11.827 9.728 9.112 8.812
0.0152 0.01508 9.39794 0.1599999964 1.5372931554    0.160 -2.653  3.4566  5.073    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.03e-16      0.00 7.083e-01 2.765e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.403 18.480 16.555 14.896 13.223 11.325 9.408 8.791 8.494
0.0152 0.01508 9.39794 0.2000000030 1.6938790862    0.200 -2.437  3.4753  5.029    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.14e-16      0.00 7.079e-01 2.768e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.863 17.148 15.439 13.839 12.347 10.615 8.914 8.295 8.006
0.0152 0.01508 9.39794 0.2500000000 1.8403257998    0.250 -2.234  3.4917  4.989    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -4.7e-16      0.00 7.076e-01 2.771e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.355 16.049 14.486 12.919 11.562 9.985 8.447 7.825 7.547
0.0152 0.01508 9.39794 0.3124423027 1.9771802827    0.312 -2.035  3.5049  4.939    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.04e-16      0.00 7.081e-01 2.767e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.857 15.156 13.687 12.161 10.891 9.415 7.979 7.354 7.087
